SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION,REPLACES RECURRENT EVENT FROM
"SALLE FORUM POUR INSCRIPTIONS SCOLARITE","2021-09-01 07:15 AM","2021-09-01 07:15 PM",,"(Exporté le:04/03/2023 17:35)","","G-0D006-Salle des forums","","",,,,,
"Soutenances de PFE","2021-09-01 07:15 AM","2021-09-01 05:15 PM",,"(Exporté le:04/03/2023 17:35)","","G-2A003,G-2A004,G-2A005,G-2C003,G-2C004,G-2C006,G-2B002,G-2B012,G-2B013,G-2B010,G-2C001,G-2C002,G-2C007","","",,,,,
"Soutenances PFE","2021-09-01 08:00 AM","2021-09-01 07:00 PM",,"(Exporté le:04/03/2023 17:35)","","G-2C008","","",,,,,
"Rentrée Alternants 1A","2021-09-01 09:00 AM","2021-09-01 12:00 PM",,"1A-ALT(Exporté le:04/03/2023 17:35)","","G-0B007-Amphi Bergès","","",,,,,
"RENTREE AST 1A","2021-09-01 09:30 AM","2021-09-01 10:15 AM",,"1A-ETU(Exporté le:04/03/2023 17:35)","","G-1C002-Amphi Coulomb","","",,,,,
"Soutien de mathematiques","2021-09-01 10:15 AM","2021-09-01 12:15 PM",,"3EM1SMA7_2021_S5_TD_G1VEZIER Antoine(Exporté le:04/03/2023 17:35)","","G-4D006","","",,,,,
"Soutien de mathematiques","2021-09-01 10:15 AM","2021-09-01 12:15 PM",,"3EM1SMA7_2021_S5_TD_G2BLANCHET Juliette(Exporté le:04/03/2023 17:35)","","G-4D003","","",,,,,
"Soutien de mathematiques","2021-09-01 01:30 PM","2021-09-01 03:30 PM",,"3EM1SMA7_2021_S5_TD_G2BLANCHET Juliette(Exporté le:04/03/2023 17:35)","","G-4D003","","",,,,,
"Soutien de mathematiques","2021-09-01 01:30 PM","2021-09-01 03:30 PM",,"3EM1SMA7_2021_S5_TD_G1VEZIER Antoine(Exporté le:04/03/2023 17:35)","","G-4D006","","",,,,,
"BESI","2021-09-01 01:30 PM","2021-09-01 02:30 PM",,"1A-TOUSCATERINA Marc(Exporté le:04/03/2023 17:35)","","G-2A007-info","","",,,,,
"BESI","2021-09-01 02:30 PM","2021-09-01 03:30 PM",,"1A-TOUSROBA Bolbol(Exporté le:04/03/2023 17:35)","","G-2A007-info","","",,,,,
