SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION,REPLACES RECURRENT EVENT FROM
"RDV et inscriptions étudiants internationaux","2020-08-24 08:00 AM","2020-08-24 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B016-Projet-Vie étudiante","","",,,,,
"DS THERMO HYDRAULIQUE MONOPHASIQUE","2020-08-24 08:30 AM","2020-08-24 11:30 AM",,"1A-ETU(Exporté le:23/03/2023 17:56)","","G-1C002-Amphi Coulomb","","",,,,,
"Examen Génie Elect","2020-08-24 09:00 AM","2020-08-24 11:00 AM",,"1A-ALT(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"Examen tiers temps","2020-08-24 11:00 AM","2020-08-24 12:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"DS APP IEE","2020-08-24 01:00 PM","2020-08-24 02:00 PM",,"1A-ETU-A1a(Exporté le:23/03/2023 17:56)","","G-2C005-info","","",,,,,
"DS APPROFONDISSEMENT orientés FILIERES","2020-08-24 01:00 PM","2020-08-24 04:00 PM",,"1A-ETU(Exporté le:23/03/2023 17:56)","","G-2C006","","",,,,,
"RDV et inscriptions étudiants internationaux","2020-08-25 08:00 AM","2020-08-25 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B016-Projet-Vie étudiante","","",,,,,
"DS MECANIQUE DES SOLIDES DEFORMABLES","2020-08-25 08:30 AM","2020-08-25 11:30 AM",,"1A-ETU(Exporté le:23/03/2023 17:56)","","G-1C002-Amphi Coulomb","","",,,,,
"Examen Fond maths","2020-08-25 09:00 AM","2020-08-25 11:00 AM",,"1A-ALT(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"Examen tiers temps","2020-08-25 11:00 AM","2020-08-25 12:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"DS AUTOMATIQUE COMMANDE DES SYSTEMES","2020-08-25 01:00 PM","2020-08-25 03:00 PM",,"1A-ETU(Exporté le:23/03/2023 17:56)","","G-2C006","","",,,,,
